DateTime,Concentration,Diff,SgnDiff,SgnDiff1,SgnDiff2,SgnDiff3,Year,Month,DayWeek,Hour,Outlier,IsOutDiff,Concentration_Imput2,IndexLastMiss
2019-01-07 13:00:00,2.8,0.3999999999999999,1.0,1.0,1.0,1.0,2019,Jan,Mon,13,0,0,2.8,0
2019-01-07 14:00:00,2.0,-0.7999999999999998,-1.0,-1.0,-1.0,-1.0,2019,Jan,Mon,14,0,0,2.0,0
2019-01-07 15:00:00,2.3,0.2999999999999998,1.0,-1.0,1.0,-1.0,2019,Jan,Mon,15,0,0,2.3,0
2019-01-07 16:00:00,1.8,-0.4999999999999998,-1.0,1.0,-1.0,1.0,2019,Jan,Mon,16,0,0,1.8,0
2019-01-07 17:00:00,1.3,-0.5,-1.0,-1.0,-1.0,-1.0,2019,Jan,Mon,17,0,0,1.3,0
2019-01-07 18:00:00,1.7,0.3999999999999999,1.0,1.0,-1.0,-1.0,2019,Jan,Mon,18,0,0,1.7,0
2019-01-07 19:00:00,2.9,1.2,1.0,-1.0,-1.0,-1.0,2019,Jan,Mon,19,0,1,2.9,0
2019-01-07 20:00:00,4.0,1.1,1.0,-1.0,1.0,-1.0,2019,Jan,Mon,20,0,1,4.0,0
2019-01-07 21:00:00,5.1,1.0999999999999996,1.0,1.0,-1.0,1.0,2019,Jan,Mon,21,0,1,5.1,0
2019-01-07 22:00:00,5.5,0.40000000000000036,1.0,1.0,-1.0,1.0,2019,Jan,Mon,22,0,0,5.5,0
2019-01-07 23:00:00,5.2,-0.2999999999999998,-1.0,1.0,-1.0,1.0,2019,Jan,Mon,23,0,0,5.2,0
2019-01-08 00:00:00,3.5,-1.7000000000000002,-1.0,1.0,1.0,1.0,2019,Jan,Tue,0,0,1,3.5,0
2019-01-08 01:00:00,2.7,-0.7999999999999998,-1.0,-1.0,1.0,-1.0,2019,Jan,Tue,1,0,0,2.7,0
2019-01-08 02:00:00,2.0,-0.7000000000000002,-1.0,1.0,1.0,-1.0,2019,Jan,Tue,2,0,0,2.0,0
2019-01-08 03:00:00,1.9,-0.10000000000000009,-1.0,1.0,1.0,1.0,2019,Jan,Tue,3,0,0,1.9,0
2019-01-08 04:00:00,1.5,-0.3999999999999999,-1.0,1.0,-1.0,-1.0,2019,Jan,Tue,4,0,0,1.5,0
2019-01-08 05:00:00,1.5,0.0,1.0,-1.0,1.0,-1.0,2019,Jan,Tue,5,0,0,1.5,0
2019-01-08 06:00:00,1.4,-0.10000000000000009,-1.0,-1.0,1.0,1.0,2019,Jan,Tue,6,0,0,1.4,0
2019-01-08 07:00:00,2.0,0.6000000000000001,1.0,-1.0,1.0,1.0,2019,Jan,Tue,7,0,0,2.0,0
2019-01-08 08:00:00,5.2,3.2,1.0,1.0,1.0,1.0,2019,Jan,Tue,8,0,1,5.2,0
2019-01-08 09:00:00,6.5,1.2999999999999998,1.0,1.0,-1.0,1.0,2019,Jan,Tue,9,1,0,6.5,0
2019-01-08 10:00:00,5.8,-0.7000000000000002,-1.0,1.0,1.0,1.0,2019,Jan,Tue,10,0,0,5.8,0
2019-01-08 11:00:00,5.9,0.10000000000000053,1.0,1.0,1.0,1.0,2019,Jan,Tue,11,0,0,5.9,0
2019-01-08 12:00:00,4.9,-1.0,-1.0,-1.0,-1.0,1.0,2019,Jan,Tue,12,0,0,4.9,0
2019-01-08 13:00:00,3.8,-1.1000000000000005,-1.0,1.0,1.0,1.0,2019,Jan,Tue,13,0,0,3.8,0
2019-01-08 14:00:00,3.4,-0.3999999999999999,-1.0,-1.0,-1.0,-1.0,2019,Jan,Tue,14,0,0,3.4,0
2019-01-08 15:00:00,3.6,0.20000000000000018,1.0,1.0,-1.0,1.0,2019,Jan,Tue,15,0,0,3.6,0
2019-01-08 16:00:00,3.6,0.0,1.0,-1.0,1.0,-1.0,2019,Jan,Tue,16,0,0,3.6,0
2019-01-08 17:00:00,3.3,-0.30000000000000027,-1.0,-1.0,-1.0,-1.0,2019,Jan,Tue,17,0,0,3.3,0
2019-01-08 18:00:00,3.9,0.6000000000000001,1.0,1.0,1.0,-1.0,2019,Jan,Tue,18,0,0,3.9,0
2019-01-08 19:00:00,3.3,-0.6000000000000001,-1.0,1.0,-1.0,-1.0,2019,Jan,Tue,19,0,0,3.3,0
2019-01-08 20:00:00,2.2,-1.0999999999999996,-1.0,1.0,-1.0,1.0,2019,Jan,Tue,20,0,1,2.2,0
2019-01-08 21:00:00,2.0,-0.20000000000000018,-1.0,1.0,1.0,-1.0,2019,Jan,Tue,21,0,0,2.0,0
2019-01-08 22:00:00,1.6,-0.3999999999999999,-1.0,1.0,1.0,-1.0,2019,Jan,Tue,22,0,0,1.6,0
